official_name	occurrences	name_type	capitalized_case
BENZOCAINE, BUTAMBEN, TETRACAINE HYDROCHLORIDE	4	generic	Benzocaine, Butamben, Tetracaine Hydrochloride
BENZOCAINE, ISOPROPYL ALCOHOL	2	generic	Benzocaine, Isopropyl Alcohol
BENZOCAINE, MENTHOL	2	generic	Benzocaine, Menthol
BENZOCAINE, MENTHOL, CETYLPYRIDINIUM CHLORIDE	2	generic	Benzocaine, Menthol, Cetylpyridinium Chloride
BENZOCAINE, RESORCINOL	9	generic	Benzocaine, Resorcinol
BENZOCAINE, TETRACAINE HYDROCHLORIDE	5	generic	Benzocaine, Tetracaine Hydrochloride
BENZOCAINE,ALCOHOL	2	generic	Benzocaine,Alcohol
BENZOIN RESIN	4	generic	Benzoin Resin
BENZONATATE	54	generic	Benzonatate
BENZOYL PEROXIDE	188	generic	Benzoyl Peroxide
BENZPHETAMINE HYDROCHLORIDE	12	generic	Benzphetamine Hydrochloride
BENZTROPINE MESYLATE	1	brand	Benztropine Mesylate
Benztropine Mesylate Injection, USP	1	brand	Benztropine Mesylate Injection, Usp
BENZYL ALCOHOL	5	generic	Benzyl Alcohol
BENZYL ALCOHOL, CAMPHOR, MENTHOL	3	generic	Benzyl Alcohol, Camphor, Menthol
BENZYLPENICILLOYL POLYLYSINE	1	generic	Benzylpenicilloyl Polylysine
BEPOTASTINE BESILATE	3	generic	Bepotastine Besilate
BEPREVE	2	brand	Bepreve
BERACTANT	1	generic	Beractant
BERBERIS POPULUS ADULT SIZE	1	generic	Berberis Populus Adult Size
Berkley and Jensen Allergy Relief	4	brand	Berkley And Jensen Allergy Relief
berkley and jensen nicotine	5	brand	Berkley And Jensen Nicotine
BESIFLOXACIN	2	generic	Besifloxacin
Besivance	2	brand	Besivance
Betadine	2	brand	Betadine
BETAGAN	1	brand	Betagan
Betalido Kit	1	brand	Betalido Kit
BETAMETHASONE ACETATE AND BETAMETHASONE SODIUM PHOSPHATE	1	generic	Betamethasone Acetate And Betamethasone Sodium Phosphate
BETAMETHASONE DIPROPIONATE	36	generic	Betamethasone Dipropionate
BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE	1	generic	Betamethasone Sodium Phosphate And Betamethasone Acetate
BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE	1	generic	Betamethasone Sodium Phosphate And Betamethasone Acetate, Bupivacaine Hydrochloride, Povidine Iodine
BETAMETHASONE SODIUM PHOSPHATE, BETAMETHASONE ACETATE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE, ISOPROPYL ALCOHOL	1	generic	Betamethasone Sodium Phosphate, Betamethasone Acetate, Lidocaine Hydrochloride, Bupivacaine Hydrochloride, Povidine Iodine, Isopropyl Alcohol
BETAMETHASONE SODIUM PHOSPHATE, BETAMETHASONE ACETATE, LIDOCAINE, POVIDINE IODINE	1	generic	Betamethasone Sodium Phosphate, Betamethasone Acetate, Lidocaine, Povidine Iodine
BETAMETHASONE VALERATE	1	generic	Betamethasone Valerate
Betaxolol	1	brand	Betaxolol
BETAXOLOL HYDROCHLORIDE	3	generic	Betaxolol Hydrochloride
BETHANECHOL CHLORIDE	11	generic	Bethanechol Chloride
BETHKIS	1	brand	Bethkis
Betimol	2	brand	Betimol
Betoptic S	1	brand	Betoptic S
BETULA ALBA JUICE BB SPF 30 PA PLUS PLUS FOR MEN	1	brand	Betula Alba Juice Bb Spf 30 Pa Plus Plus For Men
BETULA ALBA JUICE WHITE GEL FOR MEN	1	brand	Betula Alba Juice White Gel For Men
BEVACIZUMAB	1	generic	Bevacizumab
BEXAROTENE	2	generic	Bexarotene
Beyond Antiseptic Mouthwash	1	brand	Beyond Antiseptic Mouthwash
BEYOND YOUNG BLING BLING SPF35	1	brand	Beyond Young Bling Bling Spf35
BICALUTAMIDE	19	generic	Bicalutamide
BICILLIN C-R 900/300	1	brand	Bicillin C-R 900/300
BICILLIN CR	3	brand	Bicillin Cr
BICILLIN L-A	2	brand	Bicillin L-A
BICISATE	1	generic	Bicisate
biclora	3	brand	Biclora
Big Lots Sound Body	1	brand	Big Lots Sound Body
BIMATOPROST	3	generic	Bimatoprost
Binaca Anticavity Flouride Peppermint	1	brand	Binaca Anticavity Flouride Peppermint
Binaca Fluoride Anticavity Mouthwash	1	brand	Binaca Fluoride Anticavity Mouthwash
BioGlo	1	brand	Bioglo
biokera	4	brand	Biokera
BION TEARS	1	brand	Bion Tears
BIOTIN	7	generic	Biotin
BIOWHITE BEAUTY SERUM	1	brand	Biowhite Beauty Serum
BIOWHITE BRIGHTENING ESSENCE	1	brand	Biowhite Brightening Essence
BISAC-EVAC	1	brand	Bisac-Evac
BISACODYL	26	generic	Bisacodyl
Bisacodyl Laxative	2	brand	Bisacodyl Laxative
bisacodyl stimulant laxative	1	brand	Bisacodyl Stimulant Laxative
BISACODYL SUPPOSITORY	5	generic	Bisacodyl Suppository
Biscolax	1	brand	Biscolax
Biscolax Laxative	1	brand	Biscolax Laxative
Bismatrol	4	brand	Bismatrol
BISMUTH SUBSALICYLATE	147	generic	Bismuth Subsalicylate
BISOPROLOL FUMARATE	9	generic	Bisoprolol Fumarate
BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE	7	generic	Bisoprolol Fumarate And Hydrochlorothiazide
BIVALIRUDIN	2	generic	Bivalirudin
BlancTis Clinic (10%)	1	brand	Blanctis Clinic (10%)
BlancTis Clinic (15%)	1	brand	Blanctis Clinic (15%)
BlancTis Essence tooth whitening gel	1	brand	Blanctis Essence Tooth Whitening Gel
BlancTis Forte II tooth whitening	1	brand	Blanctis Forte Ii Tooth Whitening
Blatrol Bladder Relief	1	brand	Blatrol Bladder Relief
BLEOMYCIN	1	generic	Bleomycin
BLEOMYCIN SULFATE	2	generic	Bleomycin Sulfate
BLEPH-10	1	brand	Bleph-10
BLEPHAMIDE	6	brand	Blephamide
blink gel tears	1	brand	Blink Gel Tears
blink tears	1	brand	Blink Tears
Bloxiverz	1	brand	Bloxiverz
BLUEFISH	4	generic	Bluefish
Blur Relief	1	brand	Blur Relief
Body	12	brand	Body
Borax	1	brand	Borax
BORNEOL, MENTHOL	1	generic	Borneol, Menthol
Borofair	1	brand	Borofair
BORTEZOMIB	1	generic	Bortezomib
BOS TAURUS THYMUS	1	generic	Bos Taurus Thymus
BOTOX	1	brand	Botox
BOTOX Cosmetic	1	brand	Botox Cosmetic
BOTULINUM TOXIN TYPE A	2	generic	Botulinum Toxin Type A
Bouton Eye Wash	1	brand	Bouton Eye Wash
Bravelle	1	brand	Bravelle
Breathe Easier Formula	1	brand	Breathe Easier Formula
Breathe the Sea All-Natural Seawater	1	brand	Breathe The Sea All-Natural Seawater
Breo Ellipta	1	brand	Breo Ellipta
BREVIBLOC	1	generic	Brevibloc
Brevital Sodium	2	brand	Brevital Sodium
Brimonidine	1	brand	Brimonidine
BRIMONIDINE TARTRATE	12	generic	Brimonidine Tartrate
BRIMONIDINE TARTRATE, TIMOLOL MALEATE	2	generic	Brimonidine Tartrate, Timolol Maleate
BRINZOLAMIDE	1	generic	Brinzolamide
BRINZOLAMIDE/BRIMONIDINE TARTRATE	1	generic	Brinzolamide/Brimonidine Tartrate
BriteSmile Whitening	1	brand	Britesmile Whitening
BROCCOLI SUN SPF42 PA PLUS PLUS PLUS	1	brand	Broccoli Sun Spf42 Pa Plus Plus Plus
Bromday	4	brand	Bromday
BROMFENAC	7	generic	Bromfenac
BROMFENAC OPHTHALMIC SOLUTION, 0.09%	1	generic	Bromfenac Ophthalmic Solution, 0.09%
BROMFENAC SODIUM	3	generic	Bromfenac Sodium
BROMOCRIPTINE MESYLATE	10	generic	Bromocriptine Mesylate
BROMPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL	22	generic	Brompheniramine Maleate, Dextromethorphan Hbr, Phenylephrine Hcl
BROMPHENIRAMINE MALEATE, PHENYLEPHRINE HCL	4	generic	Brompheniramine Maleate, Phenylephrine Hcl
Bronchitis and Asthma Aide	1	brand	Bronchitis And Asthma Aide
Brovana	1	brand	Brovana
Bryonia Alba 30c	1	brand	Bryonia Alba 30C
BRYONIA ALBA ROOT	1	generic	Bryonia Alba Root
BRYONIA, IGNATIA, NUX VOM, PHOS, SEPIA	1	generic	Bryonia, Ignatia, Nux Vom, Phos, Sepia
BRYONIA, RUTA GRAVEOLENS, BELLIS PERENNIS, ARGENTUM METALLICUM	3	generic	Bryonia, Ruta Graveolens, Bellis Perennis, Argentum Metallicum
BRYONIA, RUTA GRAVEOLENS, BELLIS PERENNIS, ARGENTUM METALLICUM,	2	generic	Bryonia, Ruta Graveolens, Bellis Perennis, Argentum Metallicum,
BSS	3	brand	Bss
BUDESONIDE	1	brand	Budesonide
BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE	1	generic	Budesonide And Formoterol Fumarate Dihydrate
Budesonide Inhalation	1	brand	Budesonide Inhalation
Budesonide Nasal	1	brand	Budesonide Nasal
Buffered Eye-Lert	1	brand	Buffered Eye-Lert
BUMETANIDE	9	generic	Bumetanide
Bumooly-S	2	brand	Bumooly-S
BUNAVAIL	1	brand	Bunavail
BUPIVACAINE	1	generic	Bupivacaine
BUPIVACAINE HCL	2	generic	Bupivacaine Hcl
BUPIVACAINE HYDROCHLORIDE	13	generic	Bupivacaine Hydrochloride
BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE	1	generic	Bupivacaine Hydrochloride And Epinephrine
BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE	1	generic	Bupivacaine Hydrochloride And Epinephrine Bitartrate
Bupivilog Kit	1	brand	Bupivilog Kit
Buprenex	1	brand	Buprenex
BUPRENORPHINE	3	generic	Buprenorphine
BUPRENORPHINE AND NALOXONE	1	generic	Buprenorphine And Naloxone
BUPRENORPHINE HCL	1	generic	Buprenorphine Hcl
Buprenorphine HCl and Naloxone HCl	4	brand	Buprenorphine Hcl And Naloxone Hcl
BUPRENORPHINE HYDROCHLORIDE	4	generic	Buprenorphine Hydrochloride
BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE	2	generic	Buprenorphine Hydrochloride And Naloxone Hydrochloride
BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE DIHYDRATE	1	generic	Buprenorphine Hydrochloride And Naloxone Hydrochloride Dihydrate
BUPRENORPHINE HYDROCHLORIDE, NALOXONE HYDROCHLORIDE	5	generic	Buprenorphine Hydrochloride, Naloxone Hydrochloride
BUPROPION HYDROCHLORIDE	3	generic	Bupropion Hydrochloride
Bupropion Hydrochloride XL	6	brand	Bupropion Hydrochloride Xl
Burkhart	14	brand	Burkhart
Burkhart Neutral	2	brand	Burkhart Neutral
Burkhart Neutral pH	2	brand	Burkhart Neutral Ph
BUSHMASTER SNAKE VENOM	1	generic	Bushmaster Snake Venom
BUSHMASTER VENOM	4	generic	Bushmaster Venom
Business Class Kit	1	brand	Business Class Kit
Business Elite Amenity	1	brand	Business Elite Amenity
Buspirone HCl	10	brand	Buspirone Hcl
BUSPIRONE HYDROCHLORIDE	58	generic	Buspirone Hydrochloride
BUSULFAN	1	generic	Busulfan
BUSULFEX	1	brand	Busulfex
BUTALBITAL AND ACETAMINOPHEN	4	generic	Butalbital And Acetaminophen
BUTALBITAL, ACETAMINOPHEN AND CAFFEINE	28	generic	Butalbital, Acetaminophen And Caffeine
Butalbital, Acetaminophen and Caffeine with Codeine Phosphate	1	brand	Butalbital, Acetaminophen And Caffeine With Codeine Phosphate
BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE	23	generic	Butalbital, Acetaminophen, And Caffeine
Butalbital, Acetaminophen, Caffeine and Codeine Phosphate	2	brand	Butalbital, Acetaminophen, Caffeine And Codeine Phosphate
BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE	1	brand	Butalbital, Acetaminophen, Caffeine, And Codeine Phosphate
butalbital, acetominophen and caffeine	3	brand	Butalbital, Acetominophen And Caffeine
BUTALBITAL, ASPIRIN AND CAFFEINE	7	generic	Butalbital, Aspirin And Caffeine
BUTALBITAL, ASPIRIN, AND CAFFEINE	4	generic	Butalbital, Aspirin, And Caffeine
BUTALBITAL, ASPIRIN, CAFFEINE AND CODEINE PHOSPHATE	4	generic	Butalbital, Aspirin, Caffeine And Codeine Phosphate
BUTENAFINE HYDROCHLORIDE	3	generic	Butenafine Hydrochloride
BUTORPHANOL TARTRATE	1	brand	Butorphanol Tartrate
Butrans	3	brand	Butrans
BYETTA	1	brand	Byetta
BZK Towelette	1	brand	Bzk Towelette
CABERGOLINE	4	generic	Cabergoline
CACTUS WHITENING SUN SPF 34 PA PLUS PLUS FOR MEN	1	brand	Cactus Whitening Sun Spf 34 Pa Plus Plus For Men
CADMIUM SULFATE,GRAPHITE,PHOSPHORIC ACID,SILICON DIOXIDE,SELENIUM,THALLIUM,USTILAGO MAYDIS.	1	generic	Cadmium Sulfate,Graphite,Phosphoric Acid,Silicon Dioxide,Selenium,Thallium,Ustilago Maydis.
CAFCIT	1	brand	Cafcit
CAFFEINE	54	generic	Caffeine
CAFFEINE AND SODIUM BENZOATE	1	generic	Caffeine And Sodium Benzoate
CAFFEINE CITRATE	1	brand	Caffeine Citrate
Calamine	11	brand	Calamine
CALAMINE 8% AND ZINC OXIDE 8%	5	generic	Calamine 8% And Zinc Oxide 8%
CALAMINE AND PRAMOXINE HYDROCHLORIDE	3	generic	Calamine And Pramoxine Hydrochloride
CALAMINE AND ZINC OXIDE AND PHENOL	3	generic	Calamine And Zinc Oxide And Phenol
CALAMINE, PETROLATUM, PHENYLEPHRINE HYDROCHLORIDE	1	generic	Calamine, Petrolatum, Phenylephrine Hydrochloride
Calcarea Carbonic 30c	1	brand	Calcarea Carbonic 30C
CALCAREA CARBONICA	1	brand	Calcarea Carbonica
CALCAREA FLUORICA	2	brand	Calcarea Fluorica
CALCAREA FLUORICA, COLLINSONIA CANADENSIS, HAMAMELIS VIRGINIANA	1	generic	Calcarea Fluorica, Collinsonia Canadensis, Hamamelis Virginiana
CALCAREA PHOSPHORICA, COFFEA CRUDA, CHAMOMILLA	2	generic	Calcarea Phosphorica, Coffea Cruda, Chamomilla
CALCAREA SULPHURICA	2	brand	Calcarea Sulphurica
Calcarea Sulphurica 30c	1	brand	Calcarea Sulphurica 30C
Calcijex	1	brand	Calcijex
CALCIPOTRIENE	17	generic	Calcipotriene
CALCIPOTRIENE 0.005% AND BETAMETHASONE DIPROPIONATE 0.064%	2	generic	Calcipotriene 0.005% And Betamethasone Dipropionate 0.064%
CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE	6	generic	Calcipotriene And Betamethasone Dipropionate
CALCITONIN SALMON	1	generic	Calcitonin Salmon
CALCITRIOL	7	generic	Calcitriol
CALCIUM ACETATE	20	generic	Calcium Acetate
CALCIUM CARBONATE	6	generic	Calcium Carbonate
CALCIUM CARBONATE AMINOCAPROIC ACID ALUMINUM CHLOROHYDROXY ALLANTOINATE DIBASIC CALCIUM PHOSPHATE	1	generic	Calcium Carbonate Aminocaproic Acid Aluminum Chlorohydroxy Allantoinate Dibasic Calcium Phosphate
CALCIUM CARBONATE AND MAGNESIUM HYDROXIDE	5	generic	Calcium Carbonate And Magnesium Hydroxide
CALCIUM CHLORIDE	3	generic	Calcium Chloride
CALCIUM CHLORIDE, MAGNESIUM CHLORIDE, POTASSIUM CHLORIDE AND SODIUM CHLORIDE	1	generic	Calcium Chloride, Magnesium Chloride, Potassium Chloride And Sodium Chloride
CALCIUM CHLORIDE, MAGNESIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM ACETATE, SODIUM CHLORIDE, SODIUM CITRATE	1	generic	Calcium Chloride, Magnesium Chloride, Potassium Chloride, Sodium Acetate, Sodium Chloride, Sodium Citrate
CALCIUM CHORIDE	1	generic	Calcium Choride
CALCIUM CITRATE, IRON PENTACARBONYL, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL ACETATE, DL-, PYRIDOXINE HYDROCHLORIDE, FOLIC ACID, DOCUSATE SODIUM AND DOCONEXENT	4	generic	Calcium Citrate, Iron Pentacarbonyl, Cholecalciferol, .Alpha.-Tocopherol Acetate, Dl-, Pyridoxine Hydrochloride, Folic Acid, Docusate Sodium And Doconexent
CALCIUM CITRATE, IRON PENTACARBONYL, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL, DL-, PYRIDOXINE HYDROCHLORIDE, FOLIC ACID, DOCUSATE SODIUM, AND DOCONEXENT	4	generic	Calcium Citrate, Iron Pentacarbonyl, Cholecalciferol, .Alpha.-Tocopherol, Dl-, Pyridoxine Hydrochloride, Folic Acid, Docusate Sodium, And Doconexent
Calcium Disodium Versenate	1	brand	Calcium Disodium Versenate
CALCIUM FLUORIDE	2	generic	Calcium Fluoride
CALCIUM GLUCONATE	6	generic	Calcium Gluconate
CALCIUM PHOSPHATE TRIBASIC COLLOIDAL SILICON DIOXIDE	1	generic	Calcium Phosphate Tribasic Colloidal Silicon Dioxide
CALCIUM POLYCARBOPHIL	23	generic	Calcium Polycarbophil
CALCIUM SULFATE	2	generic	Calcium Sulfate
CALCIUM SULFATE ANHYDROUS	1	generic	Calcium Sulfate Anhydrous
CALCIUM SULFIDE	1	generic	Calcium Sulfide
Caldolor	1	brand	Caldolor
Calendula	1	brand	Calendula
CALENDULA HEALING	2	generic	Calendula Healing
CALENDULA OFFICINALIS	1	generic	Calendula Officinalis
CALENDULA OFFICINALIS AND NATRUM MURIATICUM	1	generic	Calendula Officinalis And Natrum Muriaticum
CALENDULA OFFICINALIS FLOWER, SAMBUCUS NIGRA FLOWER, ECHINACEA ANGUSTIFOLIA, THUJA OCCIDENTALIS	2	generic	Calendula Officinalis Flower, Sambucus Nigra Flower, Echinacea Angustifolia, Thuja Occidentalis
CALENDULA OFFICINALIS FLOWERING TOP	1	generic	Calendula Officinalis Flowering Top
CALENDULA OFFICINALIS FLOWERING TOP AND HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK AND ARNICA MONTANA ROOT AND ACONITUM NAPELLUS AND ATROPA BELLADONNA AND BELLIS PERENNIS AND MATRICARIA RECUTITA AND ECHINACEA, UNSPECIFIED AND ECHINACEA PURPUREA AND ACHILLEA MILLEFOLIUM AND CALCIUM SULFIDE AND MERCURIUS SOLUBILIS AND COMFREY ROOT AND HYPERICUM PERFORATUM AND	5	generic	Calendula Officinalis Flowering Top And Hamamelis Virginiana Root Bark/Stem Bark And Arnica Montana Root And Aconitum Napellus And Atropa Belladonna And Bellis Perennis And Matricaria Recutita And Echinacea, Unspecified And Echinacea Purpurea And Achillea Millefolium And Calcium Sulfide And Mercurius Solubilis And Comfrey Root And Hypericum Perforatum And
CALENDULA OFFICINALIS FLOWERING TOP AND SILICON DIOXIDE	3	generic	Calendula Officinalis Flowering Top And Silicon Dioxide
CALENDULA OFFICINALIS FLOWERING TOP, CAUSTICUM, PHYTOLACCA AMERICANA ROOT, THUJA OCCIDENTALIS LEAFY TWIG, SODIUM CHLORIDE, AND SALICYLIC ACID	2	generic	Calendula Officinalis Flowering Top, Causticum, Phytolacca Americana Root, Thuja Occidentalis Leafy Twig, Sodium Chloride, And Salicylic Acid
CALENDULA OFFICINALIS FLOWERING TOP, GERANIUM MACULATUM ROOT, AND SILICON DIOXIDE	2	generic	Calendula Officinalis Flowering Top, Geranium Maculatum Root, And Silicon Dioxide
CALENDULA OFFICINALIS FLOWERING TOP, GERANIUM MACULATUM ROOT, SODIUM CHLORIDE, THUJA OCCIDENTALIS LEAFY TWIG, ZINC, AND ECHINACEA ANGUSTIFOLIA	2	generic	Calendula Officinalis Flowering Top, Geranium Maculatum Root, Sodium Chloride, Thuja Occidentalis Leafy Twig, Zinc, And Echinacea Angustifolia
CALENDULA OFFICINALIS FLOWERING TOP, HYPERICUM PERFORATUM, AND SODIUM CHLORIDE	2	generic	Calendula Officinalis Flowering Top, Hypericum Perforatum, And Sodium Chloride
CALENDULA OFFICINALIS FLOWERING TOP, PHYTOLACCA AMERICANA ROOT, AND THUJA OCCIDENTALIS LEAFY TWIG	2	generic	Calendula Officinalis Flowering Top, Phytolacca Americana Root, And Thuja Occidentalis Leafy Twig
CALENDULA OFFICINALIS FLOWERING TOP, PHYTOLACCA AMERICANA ROOT, SILICON DIOXIDE, AND THUJA OCCIDENTALIS LEAFY TWIG	2	generic	Calendula Officinalis Flowering Top, Phytolacca Americana Root, Silicon Dioxide, And Thuja Occidentalis Leafy Twig
CALENDULA OFFICINALIS, ECHINACEA ANGUSTIFOLIA, CANTHARIS VESICATORIA	2	generic	Calendula Officinalis, Echinacea Angustifolia, Cantharis Vesicatoria
CALENDULA OFFICINALIS, ECHINACEA ANGUSTIFOLIA, HYPERICUM PERFORATUM, PHYTOLACCA DECANDRA, CANTHARIS, SULPHUR	2	generic	Calendula Officinalis, Echinacea Angustifolia, Hypericum Perforatum, Phytolacca Decandra, Cantharis, Sulphur
CALENDULA OFFICINALIS, SILACEA	1	generic	Calendula Officinalis, Silacea
CALENDULA OFFICINALIS, THUJA OCCIDENTALIS	3	generic	Calendula Officinalis, Thuja Occidentalis
CALFACTANT	1	generic	Calfactant
CALIFORNIA MUGWORT	8	generic	California Mugwort
Calmol 4	1	brand	Calmol 4
CAMELIA SINENSIS, SAMBUCUS NIGRA, GELSEMIUM SEMPERVIRENS, BRYONIA ALBA, SULPHUR	1	generic	Camelia Sinensis, Sambucus Nigra, Gelsemium Sempervirens, Bryonia Alba, Sulphur
CAMELLIA SINENSIS, ALLIUM CEPA, NATRUM MURIATICUM, NUX VOMICA, LUFFA OPERCULATA, GALPHIMIA GLAUCA, HISTAMINUM HYDROCHLORUM, SULPHUR	1	generic	Camellia Sinensis, Allium Cepa, Natrum Muriaticum, Nux Vomica, Luffa Operculata, Galphimia Glauca, Histaminum Hydrochlorum, Sulphur
Campath	1	brand	Campath
CAMPHOR	1	brand	Camphor
CAMPHOR (NATURAL)	1	generic	Camphor (Natural)
CAMPHOR (NATURAL), MENTHOL	9	generic	Camphor (Natural), Menthol
CAMPHOR (NATURAL), MENTHOL, METHYL SALICYLATE	2	generic	Camphor (Natural), Menthol, Methyl Salicylate
CAMPHOR (SYNTHETIC)	1	generic	Camphor (Synthetic)
CAMPHOR (SYNTHETIC) AND MENTHOL	10	generic	Camphor (Synthetic) And Menthol
CAMPHOR (SYNTHETIC), EUCALYPTUS OIL, AND MENTHOL	4	generic	Camphor (Synthetic), Eucalyptus Oil, And Menthol
CAMPHOR (SYNTHETIC), MENTHOL, METHYL SALICYLATE	7	generic	Camphor (Synthetic), Menthol, Methyl Salicylate
CAMPHOR , MENTHOL , METHYL SALICYLATE	1	generic	Camphor , Menthol , Methyl Salicylate
CAMPHOR 10%	2	generic	Camphor 10%
CAMPHOR AND EUCALYPTUS OIL AND MENTHOL	2	generic	Camphor And Eucalyptus Oil And Menthol
CAMPHOR AND MENTHOL	10	generic	Camphor And Menthol
CAMPHOR EUCALYPTUS MENTHOL	3	generic	Camphor Eucalyptus Menthol
CAMPHOR MENTHOL	5	generic	Camphor Menthol
CAMPHOR MENTHOL METHYL SALICYLATE	15	generic	Camphor Menthol Methyl Salicylate
CAMPHOR, AND MENTHOL	1	generic	Camphor, And Menthol
CAMPHOR, CAPSAICIN AND MENTHOL	1	generic	Camphor, Capsaicin And Menthol
CAMPHOR, EUCALYPTUS OIL AND MENTHOL	1	generic	Camphor, Eucalyptus Oil And Menthol
CAMPHOR, EUCALYPTUS OIL, MENTHOL	12	generic	Camphor, Eucalyptus Oil, Menthol
CAMPHOR, EUCALYPTUS OIL, MENTHOL NATURAL	2	generic	Camphor, Eucalyptus Oil, Menthol Natural
CAMPHOR, MENTHA OIL, MENTHOL, METHYL SALICYLATE, ZINC OXIDE	2	generic	Camphor, Mentha Oil, Menthol, Methyl Salicylate, Zinc Oxide
CAMPHOR, MENTHOL	21	generic	Camphor, Menthol
CAMPHOR, MENTHOL AND METHYL SALICYLATE	6	generic	Camphor, Menthol And Methyl Salicylate
CAMPHOR, MENTHOL, AND METHYL SALICYLATE	2	generic	Camphor, Menthol, And Methyl Salicylate
CAMPHOR, MENTHOL, EUCALYPTUS	3	generic	Camphor, Menthol, Eucalyptus
CAMPHOR, MENTHOL, EUCALYPTUS OIL	3	generic	Camphor, Menthol, Eucalyptus Oil
CAMPHOR, MENTHOL, METHYL SALICYLATE	3	generic	Camphor, Menthol, Methyl Salicylate
CAMPHOR, METHYL SALICYLATE, MENTHOL	6	generic	Camphor, Methyl Salicylate, Menthol
CAMPHOR, PHENOL	4	generic	Camphor, Phenol
CAMPHOR,MENTHOL, METHYL SALICYLATE	4	generic	Camphor,Menthol, Methyl Salicylate
Camptosar	2	brand	Camptosar
CANADIAN BLUEGRASS	1	generic	Canadian Bluegrass
CANAKINUMAB	1	generic	Canakinumab
CANASA	1	brand	Canasa
CANCIDAS	1	brand	Cancidas
CANDESARTAN CILEXETIL	9	generic	Candesartan Cilexetil
Candida	4	brand	Candida
Candida Alb	8	brand	Candida Alb
CANDIDA ALBICANS	1	generic	Candida Albicans
CANDIDA ALBICANS,	5	generic	Candida Albicans,
CANDIDA ALBICANS, CANDIDA PARAPSILOSIS AND PENICILLIUM ROQUEFORTI	1	generic	Candida Albicans, Candida Parapsilosis And Penicillium Roqueforti
CANDIDA ALBICANS, THUJA OCCIDENTALIS	1	generic	Candida Albicans, Thuja Occidentalis
CANDIDA PARAPSILOSIS	1	generic	Candida Parapsilosis
Cantharis 30c	1	brand	Cantharis 30C
CanTravel	1	brand	Cantravel
CAPASTAT SULFATE	1	brand	Capastat Sulfate
CAPITAL AND CODEINE	1	brand	Capital And Codeine
CAPREOMYCIN	1	generic	Capreomycin
CAPSAICIN	57	generic	Capsaicin
CAPSAICIN AND MENTHOL	4	generic	Capsaicin And Menthol
CAPSAICIN GINGER	1	generic	Capsaicin Ginger
CAPSAICIN, LIDOCAINE, MENTHOL, AND METHYL SALICYLATE	4	generic	Capsaicin, Lidocaine, Menthol, And Methyl Salicylate
CAPSAICIN, MENTHOL	3	generic	Capsaicin, Menthol
CAPSICUM	5	generic	Capsicum
CAPSICUM ANNUUM	2	generic	Capsicum Annuum
CAPSICUM ANNUUM, ARNICA MONTANA, HYPERICUM	2	generic	Capsicum Annuum, Arnica Montana, Hypericum
CAPSICUM ANNUUM, PULSATILLA, SANGUINARIA CANADENSIS,	2	generic	Capsicum Annuum, Pulsatilla, Sanguinaria Canadensis,
CAPSICUM ANNUUM, PYRETHRUM PARTHENIUM, MENTHOLUM	1	generic	Capsicum Annuum, Pyrethrum Parthenium, Mentholum
CAPSICUM ANNUUM, URTICA DIOICA	1	generic	Capsicum Annuum, Urtica Dioica
CAPSICUM OLEORESIN	5	generic	Capsicum Oleoresin
CAPTOPRIL	33	generic	Captopril
CARBACHOL	2	generic	Carbachol
CARBAMAZEPINE	57	generic	Carbamazepine
CARBAMIDE PEROXIDE	10	generic	Carbamide Peroxide
CARBIDOPA AND LEVODOPA	1	generic	Carbidopa And Levodopa
CARBIDOPA, LEVODOPA AND ENTACAPONE	4	generic	Carbidopa, Levodopa And Entacapone
CARBINOXAMINE MALEATE	6	generic	Carbinoxamine Maleate
CARBO VEGETABILIS	3	brand	Carbo Vegetabilis
Carbo Vegetabilis 30c	1	brand	Carbo Vegetabilis 30C
Carbocaine	1	brand	Carbocaine
CARBOGEN	1	generic	Carbogen
CARBON DIOXIDE	1	brand	Carbon Dioxide
CARBON DIOXIDE AIR MIX	1	generic	Carbon Dioxide Air Mix
CARBON DIOXIDE AIR MIXTURE	1	generic	Carbon Dioxide Air Mixture
